iter	Passed	Remaining
186	1073	4667
187	1077	4654
188	1082	4643
189	1086	4631
190	1091	4622
191	1095	4611
192	1100	4601
193	1105	4592
194	1109	4578
195	1113	4569
196	1118	4557
197	1122	4546
198	1127	4538
199	1132	4530
200	1137	4520
201	1141	4508
202	1146	4500
203	1150	4489
204	1155	4479
205	1159	4470
206	1164	4460
207	1169	4452
208	1173	4441
209	1177	4431
210	1182	4420
211	1186	4410
212	1190	4399
213	1195	4391
214	1199	4380
215	1204	4370
216	1209	4362
217	1213	4351
218	1218	4343
219	1222	4333
220	1226	4323
221	1231	4316
222	1236	4309
223	1240	4299
224	1245	4290
225	1250	4283
226	1254	4272
227	1259	4265
228	1263	4255
229	1268	4247
230	1273	4240
231	1278	4230
232	1282	4220
233	1286	4210
234	1291	4204
235	1295	4192
236	1299	4183
237	1303	4173
238	1307	4164
239	1311	4154
240	1316	4147
241	1321	4137
242	1325	4130
243	1330	4122
244	1334	4113
245	1339	4106
246	1343	4096
247	1348	4088
248	1352	4078
249	1357	4071
250	1361	4064
251	1366	4056
252	1370	4047
253	1374	4038
254	1379	4031
255	1384	4022
256	1388	4015
257	1392	4005
258	1397	3997
259	1400	3986
260	1405	3979
261	1409	3969
262	1414	3963
263	1419	3957
264	1423	3949
265	1428	3941
266	1432	3933
267	1438	3928
268	1442	3920
269	1447	3913
270	1453	3910
271	1457	3901
272	1462	3894
273	1466	3885
274	1471	3878
275	1476	3871
276	1480	3864
277	1485	3857
278	1489	3849
279	1494	3843
280	1499	3836
281	1503	3828
282	1508	3821
283	1512	3813
284	1517	3806
285	1521	3799
286	1527	3793
287	1531	3785
288	1535	3778
289	1540	3771
290	1545	3764
291	1550	3758
292	1554	3750
293	1558	3743
294	1562	3734
295	1567	3727
296	1571	3719
297	1575	3712
298	1580	3704
299	1584	3697
300	1589	3691
301	1593	3683
302	1598	3677
303	1602	3669
304	1607	3662
305	1611	3654
306	1616	3648
307	1620	3640
308	1624	3632
309	1628	3623
310	1632	3617
311	1637	3610
312	1641	3603
313	1646	3597
314	1651	3590
315	1656	3584
316	1660	3576
317	1665	3571
318	1669	3564
319	1675	3559
320	1679	3552
321	1683	3544
322	1688	3539
323	1692	3532
324	1697	3525
325	1701	3518
326	1706	3511
327	1710	3505
328	1715	3498
329	1720	3492
330	1724	3484
331	1729	3479
332	1733	3471
333	1738	3465
334	1742	3458
335	1746	3452
336	1751	3446
337	1756	3439
338	1760	3432
339	1764	3425
340	1769	3420
341	1773	3412
342	1778	3407
343	1783	3401
344	1787	3394
345	1793	3389
346	1797	3382
347	1802	3377
348	1807	3371
349	1811	3363
350	1815	3356
351	1819	3350
352	1824	3344
353	1829	3337
354	1834	3332
355	1838	3325
356	1842	3319
357	1847	3312
358	1851	3305
359	1856	3299
360	1860	3293
361	1865	3287
362	1869	3280
363	1873	3273
364	1878	3268
365	1882	3261
366	1887	3254
367	1891	3249
368	1896	3242
369	1900	3236
370	1905	3230
371	1909	3223
372	1914	3217
373	1918	3210
374	1923	3205
375	1927	3198
376	1932	3192
377	1936	3186
378	1940	3180
379	1945	3173
380	1949	3167
381	1954	3162
382	1959	3156
383	1964	3152
384	1970	3147
385	1974	3140
386	1978	3134
387	1982	3127
388	1987	3121
389	1991	3115
390	1996	3110
391	2001	3104
392	2006	3098
393	2010	3092
394	2015	3086
395	2020	3081
396	2023	3074
397	2028	3068
398	2032	3061
399	2037	3056
400	2041	3049
401	2046	3044
402	2050	3037
403	2055	3032
404	2060	3027
405	2064	3021
406	2069	3015
407	2073	3009
408	2078	3003
409	2083	2998
410	2088	2992
411	2092	2986
412	2097	2981
413	2102	2976
414	2107	2970
415	2111	2964
416	2116	2958
417	2120	2952
418	2125	2946
