iter	RMSE
0	377.0650444
1	354.0206745
2	332.3703142
3	312.0947614
4	293.0268047
5	275.9563849
6	259.9840225
7	245.4434458
8	231.8519069
9	219.6528675
10	208.2116025
11	197.4613407
12	187.4377727
13	178.2075318
14	169.8409044
15	162.3776033
16	155.621514
17	149.1079739
18	143.1223643
19	137.7163485
20	132.592184
21	127.6844166
22	123.4031923
23	119.1595894
24	115.2009776
25	111.9275134
26	108.7712022
27	105.7828502
28	103.0041652
29	100.5042657
30	98.0715645
31	95.7020537
32	93.86305864
33	91.83108825
34	89.92821041
35	88.39419888
36	86.87400937
37	85.62249569
38	84.37552204
39	83.1437759
40	82.02137705
41	81.17214916
42	80.16504396
43	79.17863998
44	78.4925956
45	77.69403746
46	76.95157268
47	76.21541434
48	75.43887304
49	74.80249437
50	73.96681597
51	73.30018814
52	72.83728088
53	72.31052584
54	71.99065638
55	71.54686513
56	71.06071064
57	70.64547526
58	70.24706641
59	69.94923586
60	69.58077126
61	69.22097772
62	68.87615493
63	68.61257704
64	68.3373027
65	67.97893764
66	67.71153318
67	67.53539423
68	67.27089627
69	67.08151998
70	66.67626991
71	66.47126912
72	66.13261839
73	65.93033069
74	65.72347135
75	65.47192641
76	65.16099818
77	65.02086127
78	64.82396912
79	64.71176741
80	64.61122375
81	64.50064216
82	64.14858845
83	63.97884846
84	63.73173224
85	63.51343311
86	63.41144939
87	63.29354258
88	63.15973766
89	62.91953098
90	62.74922415
91	62.63165144
92	62.45926295
93	62.30838929
94	62.21299934
95	62.12927679
96	61.93039792
97	61.76349578
98	61.68813539
99	61.60218021
100	61.51262103
101	61.37709744
102	61.31902541
103	61.11598848
104	61.06722556
105	60.93119312
106	60.82224823
107	60.77159952
108	60.60111311
109	60.48635646
110	60.44068695
111	60.38067084
112	60.31677919
113	60.28103652
114	60.17150897
115	60.12588143
116	60.07048165
117	59.99008654
118	59.86890025
119	59.77087635
120	59.69925834
121	59.60198227
122	59.49142441
123	59.38036571
124	59.25222227
125	59.19796675
126	59.14176973
127	59.08005249
128	59.02813355
129	58.9518714
130	58.8912719
131	58.8417357
132	58.70066764
133	58.64368214
134	58.58027306
135	58.50664516
136	58.41214779
137	58.34300743
138	58.30422608
139	58.26751903
140	58.21781717
141	58.19287402
142	58.09415598
143	58.01970778
144	57.95589315
145	57.88008993
146	57.84614928
147	57.80453762
148	57.73353287
149	57.65847595
150	57.60095921
151	57.57123996
152	57.54692291
153	57.4909121
154	57.44980945
155	57.40120162
156	57.36096129
157	57.32283982
158	57.29430333
159	57.23719877
160	57.18430769
161	57.14798622
162	57.10024444
163	57.0600494
164	56.99376643
165	56.96043171
166	56.87511658
167	56.82007947
168	56.77159554
169	56.72882019
170	56.72537664
171	56.68901338
172	56.64688534
173	56.5961026
174	56.54645738
175	56.50668353
176	56.476439
177	56.45696571
178	56.44455814
179	56.41156963
180	56.41029191
181	56.38509813
182	56.36179401
183	56.31994258
184	56.3189083
185	56.27318385
186	56.26726348
187	56.23103917
188	56.20155835
189	56.17341709
190	56.13791492
191	56.129668
192	56.08807521
193	56.05863722
194	56.05760362
195	56.03739077
196	56.00759169
197	56.00660303
198	55.9372294
199	55.90283962
200	55.88696056
201	55.86105458
202	55.83552633
203	55.80162478
204	55.80063898
205	55.7873567
206	55.76129899
207	55.73743535
208	55.71205269
209	55.71112797
210	55.68910344
211	55.67277039
212	55.65035464
213	55.62780631
214	55.60776011
215	55.57420065
216	55.52378911
217	55.5012797
218	55.47311131
219	55.44740354
220	55.44659057
221	55.42378324
222	55.39266466
223	55.39188143
224	55.36353491
225	55.33181943
226	55.29724234
227	55.26082225
228	55.24692426
229	55.21811969
230	55.17016588
231	55.13215826
232	55.13141725
233	55.1046675
234	55.07559014
235	55.053947
236	55.0532678
237	55.03534348
238	55.015262
239	54.99157812
240	54.95672914
241	54.92366931
242	54.89707518
243	54.86177912
244	54.8457746
245	54.81559947
246	54.79083306
247	54.78284436
248	54.75689811
249	54.7438921
250	54.71711843
251	54.69181929
252	54.68616805
253	54.66379337
254	54.65366893
255	54.62282484
256	54.62222758
257	54.59927155
258	54.56677112
259	54.56620016
260	54.54579646
261	54.5373264
262	54.48723438
263	54.47184992
264	54.4561904
265	54.42590931
266	54.41358282
267	54.37716648
268	54.37663116
269	54.35255552
270	54.3277442
271	54.30254803
272	54.27701873
273	54.26184852
274	54.23606847
275	54.21346581
276	54.1922149
277	54.15881305
278	54.13768753
279	54.10859612
280	54.09487417
281	54.08507986
282	54.07065448
283	54.05340786
284	54.02755374
285	54.0135642
286	53.98594915
287	53.95522566
288	53.93967597
289	53.92094082
290	53.89753665
291	53.88929633
292	53.86138847
293	53.84497274
294	53.83034882
295	53.81778338
296	53.79884998
297	53.79376534
298	53.7536709
299	53.75314962
300	53.74164762
301	53.72317147
302	53.69247773
303	53.66974872
304	53.65112174
305	53.63422306
306	53.62045897
307	53.5833591
308	53.5828873
309	53.58243382
310	53.57576981
311	53.54847835
312	53.52664745
313	53.50259677
314	53.48383674
315	53.45760607
316	53.43839025
317	53.40418099
318	53.38627086
319	53.36276733
320	53.36234453
321	53.34507858
322	53.32835619
323	53.31556254
324	53.31511924
325	53.29984794
326	53.28950693
327	53.2684964
328	53.25538484
329	53.22654616
330	53.19934185
331	53.17408835
332	53.15853208
333	53.13791887
334	53.11276406
335	53.08691055
336	53.06603041
337	53.04592702
338	53.04554764
339	53.02875764
340	53.0123998
341	53.00691616
342	53.00187363
343	52.99065112
344	52.97202879
345	52.96161564
346	52.96125962
347	52.92801905
348	52.9074775
349	52.90320637
350	52.88434564
351	52.87596692
352	52.85780781
353	52.82797294
354	52.80867003
355	52.79782657
356	52.79729586
357	52.7856851
358	52.78537204
359	52.75500983
360	52.73354051
361	52.68911652
362	52.68293419
363	52.68263823
364	52.66361424
365	52.66333169
366	52.6416881
367	52.61380739
368	52.59672558
369	52.56715426
370	52.54832678
371	52.54789153
372	52.53697573
373	52.53672047
374	52.50770241
375	52.50745595
376	52.48200028
377	52.46728081
378	52.46554906
379	52.43570141
380	52.4190754
381	52.38483358
382	52.37235222
383	52.35018437
384	52.33240351
385	52.31767552
386	52.31744564
387	52.3076907
388	52.28187297
389	52.26448067
390	52.24802739
391	52.23269734
392	52.21879113
393	52.20644212
394	52.18323502
395	52.16039249
396	52.16003972
397	52.13215673
398	52.10773222
399	52.09170621
400	52.07620941
401	52.03279207
402	52.01637029
403	51.99461714
404	51.98383528
405	51.96687288
406	51.95104254
407	51.93472849
408	51.91837054
409	51.91000314
410	51.89546687
411	51.89526632
412	51.88265389
413	51.86638114
414	51.84524727
415	51.83310351
416	51.80957731
417	51.78529373
418	51.77308203
419	51.75417413
420	51.74615644
421	51.73121097
422	51.71167075
423	51.68566344
424	51.66916317
425	51.64815645
426	51.64385958
427	51.6318534
428	51.6144354
429	51.59169864
430	51.58307832
431	51.56003862
432	51.54177303
433	51.52007539
434	51.50991753
435	51.49299062
436	51.47802015
437	51.45676806
438	51.43888895
439	51.42875774
440	51.41714926
441	51.39792136
442	51.37473777
443	51.35815755
444	51.34259772
445	51.32862989
446	51.32364061
447	51.30434553
448	51.27868078
449	51.26770954
450	51.24636719
451	51.23157752
452	51.22232995
453	51.19874094
454	51.18381621
455	51.16250091
456	51.14553066
457	51.13571485
458	51.12612982
459	51.11430202
460	51.09884965
461	51.0887737
462	51.06952797
463	51.05448793
464	51.03565616
465	51.00931219
466	50.99325852
467	50.9821672
468	50.95478919
469	50.94071077
470	50.92381798
471	50.9162025
472	50.89727102
473	50.88522071
474	50.86762567
475	50.86297412
476	50.84273012
477	50.82738296
478	50.81673416
479	50.80805585
480	50.79132835
481	50.78094959
482	50.76941914
483	50.76275315
484	50.74977691
485	50.74314599
486	50.73173384
487	50.72295246
488	50.72060133
489	50.71129747
490	50.68278169
491	50.66556234
492	50.64598845
493	50.62757722
494	50.61649407
